Date,Open,High,Low,Close,Adj Close,Volume
2023-08-12,1460.694214,1457.868652,1449.043457,1455.116577,1455.116577,2641425997
2023-08-13,1455.154053,1459.178833,1454.009644,1456.507324,1456.507324,1804888580
2023-08-14,1456.636597,1465.193726,1445.453369,1448.924194,1448.924194,2406333293
2023-08-15,1448.958374,1459.352905,1447.670410,1453.747681,1453.747681,3218863329
2023-08-16,1453.730591,1454.895020,1429.496948,1438.479370,1438.479370,3530525091
2023-08-17,1438.561035,1440.567017,1413.476929,1418.688232,1418.688232,3910043942
2023-08-18,1418.616333,1421.158569,1217.168579,1321.762939,1321.762939,11145970157
2023-08-19,1319.491943,1331.687744,1290.853027,1304.338501,1304.338501,7574275279
2023-08-20,1304.259399,1329.690308,1298.944092,1311.034546,1311.034546,3825373116
2023-08-21,1311.125610,1329.630493,1305.874878,1322.342651,1322.342651,3221821142
2023-08-22,1322.476318,1322.523682,1297.556641,1306.658813,1306.658813,3979100485
2023-08-23,1306.666748,1307.695435,1253.934204,1283.386719,1283.386719,5690492089
2023-08-24,1283.786621,1333.237793,1279.274902,1320.141479,1320.141479,5653801078
2023-08-25,1320.120850,1322.887817,1301.268555,1318.210205,1318.210205,4053656829
2023-08-26,1318.468506,1323.199219,1300.623535,1314.147827,1314.147827,4290823752
2023-08-27,1314.141602,1315.298462,1306.503296,1308.565308,1308.565308,1926116049
2023-08-28,1308.537598,1318.866699,1308.244141,1316.632202,1316.632202,2084405065
2023-08-29,1316.574097,1318.368164,1294.248291,1310.342529,1310.342529,3850316617
2023-08-30,1310.197266,1381.364258,1303.999268,1368.918701,1368.918701,8946801538
2023-08-31,1368.879883,1369.714233,1335.403687,1341.387817,1341.387817,3952235092
2023-09-01,1341.586304,1357.051636,1290.026611,1298.736694,1298.736694,5203310153
2023-09-02,1298.691162,1305.843628,1272.355469,1293.789063,1293.789063,4849856237
2023-09-03,1293.843384,1306.029419,1293.379761,1300.464355,1300.464355,2338409292
2023-09-04,1300.478882,1307.354858,1291.880737,1299.785889,1299.785889,2503956148
2023-09-05,1299.473755,1303.506104,1281.558350,1291.084595,1291.084595,3080220043
2023-09-06,1291.287231,1310.281860,1276.499023,1299.635498,1299.635498,3514340100
2023-09-07,1299.860352,1324.709351,1288.516968,1305.956909,1305.956909,3990391440
2023-09-08,1305.965332,1328.819458,1303.241455,1320.676880,1320.676880,3933571034
2023-09-09,1320.844727,1326.597290,1296.299927,1312.585083,1312.585083,3689124617
2023-09-10,1312.514893,1313.172974,1307.388916,1311.802368,1311.802368,1669975925
2023-09-11,1311.842041,1312.019653,1286.835083,1294.643433,1294.643433,3474767794
2023-09-12,1294.596069,1296.243530,1225.560669,1240.512573,1240.512573,6151006176
2023-09-13,1240.400757,1297.883423,1239.195190,1274.835327,1274.835327,5454871531
2023-09-14,1275.205933,1293.506714,1269.781860,1287.460083,1287.460083,3986886632
2023-09-15,1287.494629,1321.262207,1287.496948,1311.964478,1311.964478,4466522015
2023-09-16,1311.880371,1333.854980,1300.420410,1325.399658,1325.399658,3510886446
2023-09-17,1325.243164,1332.139771,1318.069824,1320.217529,1320.217529,2276421280
2023-09-18,1320.200806,1320.452637,1305.117676,1309.061035,1309.061035,2446249588
2023-09-19,1309.210327,1347.780029,1298.683472,1322.242798,1322.242798,4778022559
2023-09-20,1322.214600,1339.338379,1314.696045,1326.215576,1326.215576,3555201325
2023-09-21,1326.175781,1331.204712,1304.134888,1316.524536,1316.524536,4183011068
2023-09-22,1316.282104,1319.968384,1281.119385,1288.798950,1288.798950,4223360018
2023-09-23,1288.551270,1306.391968,1285.494263,1301.583862,1301.583862,2827214128
2023-09-24,1301.538818,1305.663208,1297.760132,1302.277466,1302.277466,1716999852
2023-09-25,1302.251221,1307.465332,1287.941895,1291.424438,1291.424438,2521376061
2023-09-26,1291.337891,1306.300537,1280.427246,1300.593384,1300.593384,3598776051
2023-09-27,1300.348022,1310.996338,1299.044556,1311.869995,1311.869995,2918505462
2023-09-28,1311.615601,1344.190186,1308.649048,1316.406250,1316.406250,4559476263
2023-09-29,1316.555176,1363.654053,1316.000000,1354.339111,1354.339111,5455507560
2023-09-30,1354.435059,1377.913208,1349.270386,1366.943359,1366.943359,4531789065
2023-10-01,1366.853760,1387.662354,1365.812378,1370.142090,1370.142090,2586942031
2023-10-02,1370.141846,1436.582642,1369.480713,1421.969116,1421.969116,4145714486
2023-10-03,1421.291260,1430.625244,1361.632202,1376.009644,1376.009644,6964757209
2023-10-04,1375.397339,1382.786133,1363.032715,1371.747314,1371.747314,3927094206
2023-10-05,1371.789063,1372.217529,1345.784180,1357.673584,1357.673584,4224629265
2023-10-06,1357.632446,1362.376221,1322.540039,1322.272827,1322.272827,4433973438
2023-10-07,1322.182007,1355.889648,1322.182007,1344.853394,1344.853394,4037595065
2023-10-08,1344.836548,1346.554565,1332.644775,1335.384277,1335.384277,2107020852
2023-10-09,1335.503662,1340.834473,1322.049316,1336.807983,1336.807983,2713270497
2023-10-10,1336.731201,1340.503052,1273.030884,1289.698853,1289.698853,5731536793
